PID or Show Name,Clean Up,Tableing,Record Sorting,Other,Check
Cosmic Hour,1.0,1.0,1.0,2.0,Y
Mondays 8pm,0.0,1.0,0.0,0.0,N
Saturday 10pm,1.0,2.0,1.0,1.0,Y
Thurs 4pm,0.0,0.0,0.0,1.0,N
Friday 10am,0.0,1.5,1.0,3.0,N
indiana tones,0.0,0.0,0.0,3.5,N
happy came to visit (Thursday 2pm),1.0,2.0,1.0,1.0,Y
The Wishing Well,0.5,0.0,0.0,0.0,N
The Cloudspeakers 9-10 Tuesday,2.0,3.0,1.0,0.0,Y
Tea with HT,0.0,1.0,1.0,1.0,N
Splatter Paint (Thurs 1-2),1.0,1.0,1.0,2.0,Y
The Banzai Predicament,1.0,1.0,0.0,1.0,N
Monday 11pm,0.0,1.0,1.0,0.0,N
Thursday 3pm,1.0,1.0,1.5,2.0,Y
The Lightfoot Show!,1.0,2.0,1.5,0.5,Y
DJEJ,1.0,1.0,1.0,5.0,Y
RIP trust,1.0,3.0,1.0,0.0,Y
The Dank Dimension Th: 10am,0.0,0.0,0.0,2.0,N
Soundtrack of a Scatterbrain,0.0,1.0,0.0,1.5,N
On Air With Arry,1.0,1.0,0.0,1.0,N
Busy Signals mon 8pm,0.5,3.0,1.5,0.0,N
"Friday 12pm, Lit Lunch Break",0.0,2.0,0.0,1.0,N
Nap Time,3.0,0.0,2.0,0.0,N
The Goodfella ,0.0,1.5,0.0,0.0,N
"Bears, Beats, Battlestar Galactica",0.0,3.5,0.0,0.0,N
Dog Daze,2.0,4.0,7.0,0.0,Y
assorted jams,1.0,1.0,2.0,1.0,Y
Thursdays 9-10 PM,0.0,0.0,0.0,1.0,N
Elemental Matters,0.0,3.5,0.0,2.0,N
channel ALMOND,0.0,1.0,0.0,0.0,N
Peanut Butter & Slam (Fri. 6-7pm),1.0,1.0,1.0,2.0,Y
"Kool-Aid Hour, Sunday 7pm",1.0,1.0,0.0,0.0,N
Kugelblitz,1.0,1.0,0.0,1.0,N
corder,1.0,0.0,0.0,2.0,N
EH!,0.0,2.0,1.0,3.0,N
The Planet Express Show,1.0,1.5,0.0,0.0,N
SD_ìŠÎÖéÎñš,0.0,1.0,0.0,1.5,N
"The Post, Weekly (Mon, 8-9 AM)",2.0,2.0,1.0,0.0,Y
soundclout wed 9 pm,0.0,3.0,0.0,0.0,N
KSDT,0.0,1.0,0.0,0.0,N
YEMOJA,0.0,2.0,0.0,2.0,N
Instant Ramen (Tues @ midnight),0.0,1.0,2.0,0.0,N
Cynical,0.0,1.0,0.0,0.0,N
Sunday 3-4pm,1.0,1.0,1.0,0.0,N
enchiinthemiddle,0.0,1.0,0.0,0.0,N
Island Hour,1.0,2.0,2.0,0.0,Y
The Kool-Aid Hour,0.0,0.0,1.0,0.0,N
sound without picture,0.0,0.0,1.0,0.0,N
